Date of ,Location of ,Violation,Violation Base,Amount Due/
Violation,Violation,Code/Type,Fine Amount,Not Paid
8/3/15,Svc & Disabled 5161,Service Space,60,0
8/3/15,Svc & Disabled 5183,Service Space,60,0
8/3/15,Coronado,Prohibited Parking,85,0
8/3/15,Lot Specific 5072,Parking Permit Vio,50,0
8/3/15,Z1 1232,Park/Improper Area,60,0
8/3/15,Z1 1232,Parking Permit Vio,50,0
8/3/15,James E Rogers Way,Meter Violation,50,0
8/3/15,Z1 1115,Parking Permit Vio,50,0
8/3/15,1000 Block E 4th Street,Parking Permit Vio,50,0
8/3/15,Lot Specific 5067,Parking Permit Vio,50,0
8/3/15,Park Student Union West,Overtime,50,0
8/3/15,Z1 1172,Parking Permit Vio,50,0
8/3/15,James E Rogers Way,Overtime,50,0
8/3/15,Z1 2030,Meter Violation,50,0
8/3/15,Warren Avenue North,Meter Violation,50,0
8/3/15,Svc & Disabled 5183,Overtime,50,0
8/3/15,Svc & Disabled 5183,Overtime,50,0
8/3/15,Svc & Disabled 3140,Park/Improper Area,60,80
8/3/15,Svc & Disabled 5084,Service Space,60,0
8/3/15,Tyndall Ave Garage,Parking Over Line,60,0
8/3/15,Tyndall Ave Garage,Overtime,50,0
8/3/15,Gould Simpson,Overtime,50,0
8/3/15,4th Street,Overtime,50,0
8/3/15,Lot Specific 4052,Parking Permit Vio,50,0
8/3/15,Lot Specific  Speedway/Campbell,Parking Permit Vio,50,0
8/3/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/3/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/3/15,Z1 2030,Meter Violation,50,70
8/3/15,Z1 2030,Meter Violation,50,70
8/3/15,Lot Specific 3039,Parking Permit Vio,50,0
8/3/15,Lot Specific 6097,Parking Permit Vio,50,0
8/3/15,Z1 2030,Parking Permit Vio,50,0
8/3/15,Lot Specific 2012,Parking Permit Vio,50,0
8/3/15,Lot Specific 2012,Parking Permit Vio,50,0
8/3/15,Svc & Disabled 5073,Service Space,60,0
8/3/15,Highland Avenue,Prohibited Parking,85,0
8/3/15,Svc & Disabled 5183,Overtime,50,0
8/3/15,1000 Block E 4th Street,Parking Permit Vio,50,0
8/3/15,Lot Specific 3039,Parking Permit Vio,50,0
8/3/15,Olive Road,Service Space,60,0
8/3/15,Lot Specific 6090,Park/Improper Area,60,0
8/4/15,Warren Avenue North,Meter Violation,50,0
8/4/15,Warren Avenue North,Meter Violation,50,70
8/4/15,Warren Avenue North,Meter Violation,50,70
8/4/15,Lot Specific 5067,Parking Permit Vio,50,0
8/4/15,Lot Specific 6098,Parking Permit Vio,50,0
8/4/15,Lot Specific 5072,Parking Permit Vio,50,0
8/4/15,Lot Specific 5072,Meter Violation,50,0
8/4/15,Highland Avenue,Overtime,50,0
8/4/15,Lot Specific 6097,Park/Improper Area,60,0
8/4/15,Z1 1018,Parking Permit Vio,50,0
8/4/15,Z1 1018,Parking Permit Vio,50,0
8/4/15,Z1 2153,Park/Improper Area,60,0
8/4/15,Z1 1225,Parking Permit Vio,50,0
8/4/15,Olive Road,Prohibited Parking,85,0
8/4/15,Svc & Reserved 4177,Overtime,50,0
8/4/15,Metered Lot 3141,Meter Violation,50,0
8/4/15,Z1 1232,Park/Improper Area,60,0
8/4/15,Z1 1018,Overtime,50,0
8/4/15,1000 Block E 4th Street,Park/Improper Area,60,0
8/4/15,Gould Simpson,Overtime,50,0
8/4/15,UMC Employee Health,Service Space,60,80
8/4/15,Lot Specific 6093,Parking Permit Vio,50,0
8/4/15,Svc & Disabled 5183,Overtime,50,0
8/4/15,4th Street,Overtime,50,0
8/4/15,Lot Specific 6093,Prohibited Parking,85,0
8/4/15,Shantz,Overtime,50,0
8/4/15,South Of Sixth 7105,Parking Permit Vio,50,0
8/4/15,South Of Sixth 7156,Parking Permit Vio,50,0
8/4/15,4th Street,Overtime,50,0
8/4/15,Z1 1225,Parking Permit Vio,50,0
8/4/15,Z1 1232,Parking Permit Vio,50,0
8/4/15,Z1 1173,Service Space,60,0
8/4/15,Lot Specific 6093,Parking Permit Vio,50,0
8/4/15,Lot Specific 3039,Parking Permit Vio,50,0
8/4/15,Gould Simpson,Overtime,50,0
8/4/15,1000 Block E 4th Street,Parking Permit Vio,50,0
8/4/15,Communication/CESL,Overtime,50,0
8/4/15,South Of Sixth 8111,Parking Over Line,60,0
8/4/15,South Of Sixth 8106,Meter Violation,50,0
8/4/15,James E Rogers Way,Meter Violation,50,70
8/4/15,Svc & Disabled 5183,Overtime,50,0
8/4/15,Svc & Disabled 5084,Overtime,50,0
8/4/15,Sixth Street Garage,Parking Over Line,60,0
8/4/15,Lot Specific 5067,Parking Permit Vio,50,0
8/4/15,Lot Specific 3113,Park/Improper Area,60,0
8/4/15,Tyndall Ave Garage,Parking Over Line,60,0
8/4/15,Z1 2030,Meter Violation,50,20
8/4/15,Tyndall Ave Garage,Parking Over Line,60,0
8/4/15,Second Street Garage,Parking Over Line,60,0
8/4/15,Z1 2030,Meter Violation,50,0
8/4/15,Z1 2030,Parking Permit Vio,50,0
8/4/15,Tyndall Ave,Park/Improper Area,60,0
8/4/15,Z1 2030,Parking Permit Vio,50,0
8/4/15,1000 Block E 4th Street,Parking Permit Vio,50,0
8/4/15,James E Rogers Way,Meter Violation,50,70
8/4/15,James E Rogers Way,Meter Violation,50,70
8/4/15,South Of Sixth 8106,Park/Improper Area,60,0
8/4/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/4/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/4/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/4/15,South Of Sixth 8106,Park/Improper Area,60,0
8/5/15,Svc & Disabled 3140,Service Space,60,0
8/5/15,Warren Avenue North,Meter Violation,50,0
8/5/15,Warren Avenue North,Meter Violation,50,0
8/5/15,Warren Avenue North,Meter Violation,50,70
8/5/15,Warren Avenue North,Meter Violation,50,0
8/5/15,Enke Drive,Meter Violation,50,0
8/5/15,Warren Avenue North,Overtime,50,70
8/5/15,Warren Avenue North,Overtime,50,0
8/5/15,South Of Sixth 8106,Parking Over Line,60,0
8/5/15,4th Street,Prohibited Parking,85,0
8/5/15,Lot Specific 2012,Meter Violation,50,0
8/5/15,Cochise,Parking Permit Vio,50,0
8/5/15,Warren Avenue North,Meter Violation,50,0
8/5/15,Z1 1233,Parking Permit Vio,50,0
8/5/15,Svc & Reserved 4177,Overtime,50,0
8/5/15,Lot Specific 3039,Parking Permit Vio,50,0
8/5/15,Lot Specific 3039,Parking Permit Vio,50,0
8/5/15,Lot Specific 3039,Parking Permit Vio,50,0
8/5/15,Z1 2030,Meter Violation,50,0
8/5/15,Svc & Disabled 5183,Overtime,50,70
8/5/15,4th Street,Service Space,60,0
8/5/15,Metered Lot 6088,Meter Violation,50,70
8/5/15,Z1 1233,Parking Permit Vio,50,0
8/5/15,Z1 1233,Parking Permit Vio,50,0
8/5/15,Svc & Disabled 4058,Overtime,50,0
8/5/15,South Hall ROTC,Overtime,50,0
8/5/15,Gould Simpson,Service Space,60,0
8/5/15,Lot Specific 6093,Parking Permit Vio,50,0
8/5/15,Sixth Street Garage,Parking Over Line,60,0
8/5/15,South Of Sixth 8179,Parking Permit Vio,50,0
8/5/15,South Of Sixth 8179,Parking Permit Vio,50,0
8/5/15,Lot Specific 5072,Meter Violation,50,0
8/5/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/5/15,Z1 1018,Overtime,50,0
8/5/15,Z1 2030,Meter Violation,50,0
8/5/15,Warren Avenue North,Park/Improper Area,60,0
8/5/15,South Of Sixth 8154,Parking Permit Vio,50,0
8/5/15,South Of Sixth 7105,Parking Over Line,60,0
8/5/15,Z1 2030,Parking Permit Vio,50,0
8/5/15,Sixth Street Garage,Parking Over Line,60,0
8/5/15,Lot Specific 6097,Park/Improper Area,60,80
8/5/15,Lot Specific 3039,Parking Permit Vio,50,0
8/5/15,Lot Specific 6090,Parking Permit Vio,50,0
8/5/15,Lot Specific 1016,Parking Permit Vio,50,0
8/5/15,Cherry Avenue Garage,Overtime,50,0
8/5/15,Z1 1232,Parking Permit Vio,50,0
8/5/15,James E Rogers Way,Overtime,50,0
8/6/15,Warren Avenue North,Meter Violation,50,70
8/6/15,Warren Avenue North,Meter Violation,50,70
8/6/15,Warren Avenue North,Meter Violation,50,0
8/6/15,1st Street,Meter Violation,50,0
8/6/15,1st Street,Meter Violation,50,0
8/6/15,Enke Drive,Meter Violation,50,0
8/6/15,Cherry Avenue Garage,Park/Improper Area,60,0
8/6/15,James E Rogers Way,Meter Violation,50,70
8/6/15,Z1 1232,Parking Permit Vio,50,0
8/6/15,4th Street,Prohibited Parking,85,0
8/6/15,Enke Drive,Meter Violation,50,0
8/6/15,Metered Lot 6088,Meter Violation,50,0
8/6/15,Cherry Avenue Garage,Parking Over Line,60,0
8/6/15,Svc & Disabled 4059,Overtime,50,0
8/6/15,Z1 1225,Parking Permit Vio,50,0
8/6/15,Svc & Disabled 5084,Overtime,50,0
8/6/15,Z1 2030,Meter Violation,50,0
8/6/15,Lot Specific 3113,Parking Permit Vio,50,0
8/6/15,Alley B104 Spdway & 2nd,Overtime,50,0
8/6/15,Warren Avenue North,Meter Violation,50,0
8/6/15,South Hall ROTC,Overtime,50,0
8/6/15,Shantz,Overtime,50,0
8/6/15,Svc & Reserved 4177,Overtime,50,0
8/6/15,PBC 10002,Parking Permit Vio,50,70
8/6/15,Lot Specific 2245,Parking Permit Vio,50,0
8/6/15,Svc & Disabled 5183,Service Space,60,80
8/6/15,1000 Block E 4th Street,Parking Permit Vio,50,0
8/6/15,Z1 2147,Parking Permit Vio,50,0
8/6/15,Cherry Avenue,Meter Violation,50,0
8/6/15,PBC 10002,Parking Permit Vio,50,70
8/6/15,PBC 10002,Parking Permit Vio,50,70
8/6/15,Cherry Avenue Garage,Parking Over Line,60,0
8/6/15,PBC 10002,Parking Permit Vio,50,0
8/6/15,Cherry Avenue Garage,Parking Over Line,60,0
8/6/15,Highland Avenue Garage,Parking Over Line,60,0
8/6/15,PBC 10002,Parking Permit Vio,50,70
8/6/15,South Hall ROTC,Prohibited Parking,85,0
8/6/15,Main Gate Garage,Parking Over Line,60,0
8/6/15,Main Gate Garage,Parking Over Line,60,0
8/6/15,Slonaker,Meter Violation,50,0
8/6/15,Svc & Disabled 5183,Overtime,50,0
8/6/15,Cherry Avenue Garage,Parking Over Line,60,0
8/6/15,Communication/CESL,Parking Permit Vio,50,0
8/6/15,Svc & Disabled 5073,Overtime,50,0
8/6/15,Svc & Disabled 5073,Overtime,50,0
8/6/15,Svc & Disabled 5073,Overtime,50,70
8/6/15,Svc & Disabled 5075,Overtime,50,0
8/6/15,James E Rogers Way,Meter Violation,50,0
8/6/15,James E Rogers Way,Meter Violation,50,70
8/6/15,Svc & Disabled 5073,Overtime,50,0
8/6/15,Svc & Disabled 3140,Service Space,60,0
8/6/15,Svc & Disabled 3140,Park/Improper Area,60,0
8/6/15,Enke Drive,Meter Violation,50,70
8/6/15,Metered Lot 6088,Meter Violation,50,70
8/6/15,Metered Lot 6088,Meter Violation,50,0
8/6/15,Metered Lot 6088,Meter Violation,50,0
8/6/15,Metered Lot 6088,Meter Violation,50,0
8/6/15,Lot Specific 5072,Parking Permit Vio,50,0
8/6/15,Lot Specific 6090,Parking Permit Vio,50,0
8/6/15,Lot Specific 5067,Parking Permit Vio,50,0
8/7/15,Main Gate Garage,Parking Over Line,60,0
8/7/15,Lot Specific 6090,Parking Permit Vio,50,0
8/7/15,1000 Block Martin,Park/Improper Area,60,0
8/7/15,1000 Block Martin,Park/Improper Area,60,0
8/7/15,Lot Specific 4144,Park/Improper Area,60,0
8/7/15,1st Street,Meter Violation,50,0
8/7/15,Enke Drive,Meter Violation,50,0
8/7/15,Warren Avenue North,Meter Violation,50,70
8/7/15,UMC Employee Health,Service Space,60,80
8/7/15,Lot Specific 2012,Parking Permit Vio,50,0
8/7/15,Lot Specific 2029,Parking Permit Vio,50,0
8/7/15,Lot Specific 2029,Parking Permit Vio,50,0
8/7/15,Z1 2030,Parking Permit Vio,50,0
8/7/15,Metered Lot 6088,Meter Violation,50,70
8/7/15,Svc & Disabled 4058,Overtime,50,0
8/7/15,Cherry Avenue,Meter Violation,50,0
8/7/15,Cherry Avenue,Prohibited Parking,85,0
8/7/15,Olive Road,Parking Permit Vio,50,0
8/7/15,Lot Specific 5067,Parking Permit Vio,50,0
8/7/15,Lot Specific 3231,Parking Permit Vio,50,0
8/7/15,Svc & Disabled 3140,Service Space,60,0
8/7/15,1000 Block E 4th Street,Parking Permit Vio,50,0
8/7/15,Communication/CESL,Overtime,50,0
8/7/15,Lot Specific 5072,Park/Improper Area,60,0
8/7/15,Tyndall Ave,Service Space,60,0
8/7/15,Tyndall Ave,Park/Improper Area,60,80
8/7/15,Hawthorne,Parking Permit Vio,50,70
8/7/15,Hawthorne,Parking Permit Vio,50,70
8/7/15,Z1 2030,Parking Permit Vio,50,0
